Cell,month,RUNOFF,BASEFLOW
        64,         4,    43.340,     7.969
        64,         5,    76.194,    14.122
        64,         6,    93.398,    18.658
        64,         7,   111.999,    24.153
        64,         8,   117.013,    25.393
        64,         9,    86.574,    19.841
        64,        10,    43.941,    11.122
        64,        11,     1.803,     1.581
        64,        12,     0.008,     0.008
        65,         1,     1.434,     1.334
        65,         2,     0.006,     0.006
        65,         3,     6.013,     0.943
        65,         4,    33.913,     6.490
        65,         5,    68.622,    12.638
        65,         6,    87.805,    16.682
        65,         7,   109.015,    23.164
        65,         8,   115.043,    24.872
        65,         9,    82.852,    19.042
        65,        10,    40.773,    10.387
        65,        11,     1.710,     1.468
        65,        12,     0.007,     0.007
        66,         1,     1.431,     1.332
        66,         2,     0.006,     0.006
        66,         3,     0.182,     0.008
        66,         4,    38.460,     7.220
        66,         5,    78.886,    14.773
        66,         6,    96.595,    18.724
        66,         7,   117.507,    24.547
        66,         8,   121.598,    26.346
        66,         9,    85.762,    19.781
        66,        10,    41.020,    10.519
        66,        11,     1.632,     1.455
        66,        12,     0.007,     0.007
        67,         1,     1.436,     1.334
        67,         2,     0.006,     0.006
        67,         3,     0.824,     0.044
        67,         4,    43.797,     7.975
        67,         5,    77.168,    14.380
        67,         6,    95.728,    19.553
        67,         7,   114.840,    24.792
        67,         8,   119.832,    26.020
        67,         9,    87.733,    20.157
        67,        10,    43.956,    11.162
        67,        11,     1.816,     1.583
        67,        12,     0.008,     0.008
        68,         1,     1.436,     1.334
        68,         2,     0.006,     0.006
        68,         3,     0.682,     0.035
        68,         4,    43.558,     7.947
        68,         5,    76.502,    14.081
        68,         6,    95.233,    19.250
        68,         7,   114.247,    24.702
        68,         8,   119.569,    25.954
        68,         9,    87.466,    20.095
        68,        10,    43.888,    11.138
        68,        11,     1.813,     1.580
        68,        12,     0.008,     0.008
        69,         1,     1.442,     1.335
        69,         2,     0.006,     0.006
        69,         3,     0.524,     0.026
        69,         4,    41.890,     7.709
        69,         5,    83.987,    15.496
        69,         6,   103.472,    20.774
        69,         7,   124.827,    26.795
        69,         8,   128.686,    27.946
        69,         9,    92.533,    21.332
        69,        10,    45.846,    11.672
        69,        11,     1.855,     1.640
        69,        12,     0.008,     0.008
        70,         1,     1.436,     1.333
        70,         2,     0.006,     0.006
        70,         3,     0.590,     0.030
        70,         4,    43.829,     8.113
        70,         5,    77.960,    14.471
        70,         6,    97.799,    19.463
        70,         7,   118.907,    25.431
        70,         8,   123.775,    26.815
        70,         9,    88.602,    20.422
        70,        10,    43.685,    11.131
        70,        11,     1.775,     1.563
        70,        12,     0.008,     0.008
        71,         1,     1.509,     1.349
        71,         2,     0.010,     0.008
        71,         3,     1.351,     0.077
        71,         4,    47.548,     8.536
        71,         5,    83.535,    16.109
        71,         6,   103.181,    21.526
        71,         7,   123.282,    26.670
        71,         8,   128.675,    27.987
        71,         9,    94.256,    21.693
        71,        10,    47.569,    12.064
        71,        11,     1.979,     1.719
        71,        12,     0.009,     0.009
        72,         1,     3.501,     3.433
        72,         2,     2.093,     2.093
        72,         3,     8.530,     4.070
        72,         4,    33.051,     9.757
        72,         5,    78.996,    15.476
        72,         6,   102.820,    16.193
        72,         7,   123.901,    17.221
        72,         8,   130.044,    16.712
        72,         9,    92.874,    15.946
        72,        10,    47.313,    14.177
        72,        11,     7.586,     7.354
        72,        12,     4.423,     4.423
        73,         1,     1.473,     1.342
        73,         2,     0.726,     0.150
        73,         3,    15.168,     2.699
        73,         4,    34.427,     6.490
        73,         5,    76.543,    14.370
