ID,Watershed,UZTWM,UZFWM,UZK,ZPERC,REXP,LZTWM,LZFSM,LZFPM,LZSK,LZPK,PFREE
143,143,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
144,144,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
145,145,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
146,146,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
147,147,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
148,148,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
149,149,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
150,150,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
151,151,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
152,152,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
153,153,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
154,154,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
155,155,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
156,156,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
157,157,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
158,158,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
159,159,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
160,160,49.8,29.88,0.38,60.41,2.62,115.2,19.69,49.43,0.15,0,0.28
161,161,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
162,162,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
163,163,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
164,164,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
165,165,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
166,166,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
167,167,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
168,168,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
169,169,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
170,170,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
171,171,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
172,172,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
